journal,title_word_limit,abstract_word_limit,keywords_limit,structured_abstract
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,NA,250,8,No
AUSTRALIAN SYSTEMATIC BOTANY,NA,200,NA,No
FIRE-SWITZERLAND,NA,200,10,Other structure requirements
JOURNAL OF BIOGEOGRAPHY,15,300,10,Yes
METHODS IN ECOLOGY AND EVOLUTION,NA,350,8,Yes
PLANT SYSTEMATICS AND EVOLUTION,NA,250,6,No
ECOLOGY,NA,350,12,No
URBAN ECOSYSTEMS,NA,250,6,No
HUMAN-WILDLIFE INTERACTIONS,NA,NA,10,No
ECOLOGY AND SOCIETY,NA,300,NA,No
CONSERVATION BIOLOGY,NA,NA,8,No
AQUATIC INVASIONS,NA,300,7,Other structure requirements
ANNUAL REVIEW OF ECOLOGY EVOLUTION AND SYSTEMATICS,NA,150,6,No
ECOLOGICAL MONOGRAPHS,NA,350,12,No
JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY,NA,250,7,Other structure requirements
GLOBAL ECOLOGY AND BIOGEOGRAPHY,NA,300,10,Yes
MARINE ECOLOGY PROGRESS SERIES,20,250,8,No
INSECT SYSTEMATICS AND EVOLUTION,NA,300,8,No
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,NA,NA,NA,No
JOURNAL OF APPLIED ECOLOGY,NA,350,8,Other structure requirements
ANTHROPOLOGICAL SCIENCE,NA,300,5,No
ECOLOGICAL INFORMATICS,NA,400,6,No
ECOLOGICAL APPLICATIONS,NA,350,12,No
EVOLUTION,NA,200,6,No
ECOGRAPHY,NA,300,NA,No
FUNCTIONAL ECOLOGY,NA,350,8,Other structure requirements
BIOLOGY LETTERS,20,200,NA,No
MOLECULAR ECOLOGY RESOURCES,NA,250,6,No
FRONTIERS IN ECOLOGY AND EVOLUTION,NA,NA,8,No
JOURNAL FOR NATURE CONSERVATION,NA,NA,6,No
MARINE BIOLOGY RESEARCH,NA,300,6,No
JOURNAL OF ANIMAL ECOLOGY,NA,350,8,Other structure requirements
SYSTEMATIC BOTANY,NA,300,NA,No
ECOSPHERE,NA,NA,12,No
ECOLOGICAL PROCESSES,NA,350,10,Yes
WILDLIFE BIOLOGY,NA,300,NA,No
GLOBAL CHANGE BIOLOGY,NA,300,10,No
LANDSCAPE ECOLOGY,NA,250,6,Yes
THEORETICAL ECOLOGY,NA,250,6,No
IDEAS IN ECOLOGY AND EVOLUTION,NA,300,6,No
BIOLOGICAL INVASIONS,NA,250,6,No
ECOLOGICAL ENGINEERING,NA,NA,6,No
AQUATIC MICROBIAL ECOLOGY,20,250,8,No
FLORA,NA,NA,6,No
PEOPLE AND NATURE,NA,350,8,Yes
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,NA,150,NA,No
AQUATIC ECOLOGY,NA,250,6,No
ANIMAL CONSERVATION,NA,300,8,No
NATURE,10,200,NA,No
ECOLOGICAL MODELLING,NA,NA,6,No
AFRICAN JOURNAL OF RANGE AND FORAGE SCIENCE,NA,200,5,No
REMOTE SENSING IN ECOLOGY AND CONSERVATION,NA,300,6,No
ECOSYSTEMS,NA,250,10,No
ECOLOGICAL MANAGEMENT AND RESTORATION,NA,300,10,No
ECOLOGY LETTERS,NA,150,10,No
ECOLOGICAL RESTORATION,NA,250,8,No
SCIENCE,NA,125,NA,No
DIVERSITY AND DISTRIBUTIONS,NA,300,10,Yes
FOOD WEBS,NA,350,6,No
BMC ECOLOGY AND EVOLUTION,NA,350,10,Yes
FRONTIERS IN FORESTS AND GLOBAL CHANGE,NA,NA,8,No
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,NA,NA,6,No
ISME JOURNAL,20,250,NA,No
SCIENCE ADVANCES,18,150,NA,No
BIODIVERSITY AND CONSERVATION,NA,250,6,No
CURRENT OPINION IN INSECT SCIENCE,NA,120,NA,No
ECOLOGY AND EVOLUTION,NA,NA,6,No
THEORETICAL POPULATION BIOLOGY,NA,NA,6,No
OIKOS,NA,300,NA,No
ENVIRONMENTAL BIOLOGY OF FISHES,NA,250,6,No
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,NA,250,NA,No
MAMMAL REVIEW,NA,300,NA,No
BIOGEOSCIENCES,NA,NA,NA,No
BEHAVIORAL ECOLOGY,14,250,NA,No
NATURE CLIMATE CHANGE,NA,150,NA,No
NEOBIOTA,NA,NA,8,No
JOURNAL OF PLANT ECOLOGY,14,250,7,No
MOLECULAR ECOLOGY,NA,250,6,No
ARCTIC SCIENCE,NA,200,NA,No
ECOSYSTEM SERVICES,NA,NA,6,No
ECOSYSTEM HEALTH AND SUSTAINABILITY,NA,200,8,Yes
FUNGAL ECOLOGY,NA,150,10,No
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,NA,250,6,No
MICROBIAL ECOLOGY,NA,250,6,No
POPULATION ECOLOGY,NA,250,5,No
APPLIED VEGETATION SCIENCE,NA,300,10,No
FOLIA OECOLOGICA,NA,NA,6,No
REVISTA CHILENA DE HISTORIA NATURAL,NA,350,10,No
RESTORATION ECOLOGY,NA,250,8,No
ECOLOGICAL COMPLEXITY,NA,400,6,No
EUROPEAN JOURNAL OF WILDLIFE RESEARCH,NA,250,6,No
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,NA,200,6,No
CHEMOECOLOGY,NA,250,6,No
EVOLUTIONARY BIOLOGY,NA,250,6,No
ORGANISMS DIVERSITY AND EVOLUTION,NA,250,6,No
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,NA,NA,6,No
NATURE ECOLOGY AND EVOLUTION,NA,200,NA,No
WEB ECOLOGY,NA,NA,NA,No
LANDSCAPE AND URBAN PLANNING,NA,250,6,No
POLISH POLAR RESEARCH,NA,250,5,No
BIOLOGICAL CONSERVATION,NA,NA,6,No
AGRICULTURE ECOSYSTEMS AND ENVIRONMENT,NA,NA,6,No
ECOLOGICAL ECONOMICS,NA,NA,6,No
PLANTS PEOPLE PLANET,NA,250,8,Other structure requirements
MOVEMENT ECOLOGY,NA,350,10,Yes
FIRE ECOLOGY,NA,350,10,Yes
JOURNAL OF VEGETATION SCIENCE,NA,300,10,Yes
CONSERVATION PHYSIOLOGY,NA,300,NA,No
BASIC AND APPLIED ECOLOGY,NA,NA,10,No
JOURNAL OF EVOLUTIONARY BIOLOGY,NA,250,10,No
HEREDITY,NA,250,NA,No
ISRAEL JOURNAL OF ECOLOGY AND EVOLUTION,NA,250,6,No
DIVERSITY-BASEL,NA,200,10,Other structure requirements
JOURNAL OF CHEMICAL ECOLOGY,NA,250,6,No
INTERNATIONAL JOURNAL FOR PARASITOLOGY-PARASITES AND WILDLIFE,NA,300,6,No
RANGELAND ECOLOGY AND MANAGEMENT,NA,300,6,No
POLAR SCIENCE,NA,200,5,No
POLAR BIOLOGY,NA,250,6,No
WILDLIFE RESEARCH,NA,350,8,Yes
LANDSCAPE AND ECOLOGICAL ENGINEERING,NA,250,6,No
ECOLOGICAL RESEARCH,NA,250,5,No
PLANT ECOLOGY,NA,250,6,No
ECOSCIENCE,NA,200,6,No
AFRICAN JOURNAL OF ECOLOGY,NA,200,8,No
JOURNAL OF HUMAN EVOLUTION,NA,300,6,No
EVOLUTION MEDICINE AND PUBLIC HEALTH,16,250,NA,Yes
MOLECULAR PHYLOGENETICS AND EVOLUTION,NA,200,6,No
MOLECULAR BIOLOGY AND EVOLUTION,NA,250,NA,No
EVOLUTIONARY APPLICATIONS,NA,300,6,No
SYSTEMATIC ENTOMOLOGY,NA,250,7,No
CLADISTICS,NA,300,5,No
GENOME BIOLOGY AND EVOLUTION,20,250,6,No
JOURNAL OF MOLECULAR EVOLUTION,NA,250,6,No
SYSTEMATIC BIOLOGY,NA,NA,8,No
EVODEVO,NA,350,10,Yes
INTEGRATIVE ORGANISMAL BIOLOGY,14,400,NA,No
ZOOLOGICA SCRIPTA,14,250,NA,No
ANIMAL BIOTELEMETRY,NA,350,10,Yes
CHEMISTRY AND ECOLOGY,NA,250,6,No
EVOLUTIONARY ECOLOGY,NA,300,6,No
PLANT SPECIES BIOLOGY,NA,250,5,No
PHYTOCOENOLOGIA,NA,300,12,Yes
COMPOST SCIENCE AND UTILIZATION,NA,NA,NA,No
ACTA AMAZONICA,NA,250,5,Yes
ANNALES ZOOLOGICI FENNICI,NA,150,NA,No
PROCEEDINGS OF THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA,NA,NA,6,No
POLAR RECORD,NA,NA,NA,No
NATURAL AREAS JOURNAL,NA,250,5,No
ECO MONT-JOURNAL ON PROTECTED MOUNTAIN AREAS RESEARCH,NA,NA,NA,No
APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,14,200,5,No
NORTHWEST SCIENCE,NA,250,5,Yes
RUSSIAN JOURNAL OF ECOLOGY,NA,250,6,No
CONTEMPORARY PROBLEMS OF ECOLOGY,NA,NA,7,No
AMERICAN MIDLAND NATURALIST,NA,NA,NA,No
POLISH JOURNAL OF ECOLOGY,NA,250,7,Yes
VIE ET MILIEU-LIFE AND ENVIRONMENT,NA,200,8,No
SOUTHWESTERN NATURALIST,NA,NA,NA,No
PALEOBIOLOGY,NA,300,NA,No
JOURNAL OF SYSTEMATIC PALAEONTOLOGY,NA,300,6,Yes
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,NA,300,NA,No
JOURNAL OF WILDLIFE AND BIODIVERSITY,NA,300,NA,No
ECOLOGIA APLICADA,NA,250,15,No
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,NA,250,5,Yes
ECOHYDROLOGY,NA,250,7,Other structure requirements
TAXON,6,NA,6,No
RUSSIAN JOURNAL OF BIOLOGICAL INVASIONS,NA,250,6,No
PLOS BIOLOGY,33,NA,NA,No
ECOLOGICAL QUESTIONS,NA,NA,7,No
INTERNATIONAL JOURNAL OF ECOLOGY AND DEVELOPMENT,NA,NA,NA,No
EVOLUTION AND DEVELOPMENT,NA,250,5,Other structure requirements
ECOTOXICOLOGY,NA,250,6,No
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,NA,200,6,No
JOURNAL OF ECOLOGY,NA,350,NA,Yes
WETLANDS,NA,250,6,No
JOURNAL OF HEREDITY,10,250,6,No
JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,NA,250,6,Other structure requirements
POLAR RESEARCH,NA,250,6,No
GLOBAL ECOLOGY AND CONSERVATION,NA,400,6,No
AMBIENT SCIENCE,NA,NA,5,No
ELIFE,16,200,NA,No
TROPICS,NA,NA,NA,No
ARID ECOSYSTEMS,NA,250,6,No
NEOTROPICAL BIODIVERSITY,NA,350,5,No
EVOLUTIONARY BIOINFORMATICS,NA,NA,NA,No
SOUTH OF RUSSIA-ECOLOGY DEVELOPMENT,16,200,10,Yes
FRESHWATER BIOLOGY,NA,500,5,Yes
DEVELOPMENT GENES AND EVOLUTION,NA,250,6,No
AOB PLANTS,NA,NA,NA,No
PEDOBIOLOGIA,NA,NA,6,No
BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,NA,200,10,No
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,NA,400,6,No
TROPICAL ECOLOGY,NA,250,10,No
JOURNAL OF SOIL AND WATER CONSERVATION,NA,400,6,No
REGIONAL STUDIES IN MARINE SCIENCE,NA,NA,6,No
COMMUNITY ECOLOGY,NA,250,6,No
ECOHYDROLOGY AND HYDROBIOLOGY,NA,250,6,No
JOURNAL OF TROPICAL ECOLOGY,26,200,10,No
RANGELAND JOURNAL,8,300,8,No
TRENDS IN ECOLOGY AND EVOLUTION,8,120,6,No
AMERICAN NATURALIST,10,200,6,No
THEORETICAL AND APPLIED ECOLOGY,10,300,8,No
VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA-BIOLOGIYA,10,500,7,Yes
AFRICAN JOURNAL OF WILDLIFE RESEARCH,12,300,NA,No
BIOCHEMICAL SYSTEMATICS AND ECOLOGY,12,NA,6,No
BIOSYSTEMS DIVERSITY,12,NA,6,No
CURRENT BIOLOGY,12,250,10,No
BIOTROPICA,12,250,8,Other structure requirements
JOURNAL OF WILDLIFE MANAGEMENT,15,NA,10,No
NATURE COMMUNICATIONS,15,200,NA,No
OECOLOGIA,15,250,5,No
COMMUNICATIONS BIOLOGY,15,150,NA,No
WILDLIFE MONOGRAPHS,15,NA,NA,No
NEW ZEALAND JOURNAL OF ECOLOGY,15,300,10,No
BULLETIN OF THE PEABODY MUSEUM OF NATURAL HISTORY,15,300,10,No
JOURNAL OF FISH AND WILDLIFE MANAGEMENT,15,300,NA,No
INTERCIENCIA,15,NA,NA,No
NATURAL HISTORY,15,NA,NA,No
BIOLOGICAL REVIEWS,15,500,10,No
AUSTRAL ECOLOGY,15,300,5,No
FRESHWATER SCIENCE,15,NA,12,No
SCIENTIFIC REPORTS,20,200,NA,No
SOUTHEASTERN NATURALIST,20,120,NA,No
JOURNAL OF ARID ENVIRONMENTS,20,NA,6,No
NORTHEASTERN NATURALIST,20,120,NA,Yes
WESTERN NORTH AMERICAN NATURALIST,20,NA,NA,Yes
SOIL ECOLOGY LETTERS,20,250,6,No
ORYX,25,250,8,Yes
EVOLUTION LETTERS,30,300,10,No
INVERTEBRATE SYSTEMATICS,7,NA,8,Yes
EUROPEAN JOURNAL OF SOIL BIOLOGY,16,NA,10,No
